Store,Model,Price,Image_URL,Shop_Link
高雄店,【高雄店】2018 台鈴 NEW NEX 125 #1837,38000,https://cdn.store-assets.com/s/1336053/i/96432562.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2018-台鈴-new-nex-125-1837
高雄店,【高雄店】2020 光陽 VJR125 (ABS) #2608,42000,https://cdn.store-assets.com/s/1336053/i/96275501.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2020-光陽-vjr125-abs-2608
高雄店,【高雄店】2008 光陽 GP125 (碟煞) #120 (現況車款),19999,https://cdn.store-assets.com/s/1336053/i/96143557.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2008-光陽-gp125-120-現況車款-
高雄店,【高雄店】2021 三陽 活力VIVO125 (鼓煞CBS) #8830,38000,https://cdn.store-assets.com/s/1336053/i/95550939.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2021-三陽-活力vivo125-股煞cbs-8830
高雄店,【高雄店】2021 睿能 GOGORO 2 GT (ABS) #6579 (現況販售),25000,https://cdn.store-assets.com/s/1336053/i/95543914.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2021-睿能-gogoro-2-gt-abs-6579-現況販售-
高雄店,【高雄店】2024 三陽 Fiddle 125 (ABS) #0207,58000,https://cdn.store-assets.com/s/1336053/i/95538935.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2024-三陽-fiddle-125-abs-0207
高雄店,【高雄店】2014 PGO JBUBU 115 #306,36000,https://cdn.store-assets.com/s/1336053/i/95109893.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄鳳山店-2014-pgo-jbubu-115-306
高雄店,【高雄店】2019 三陽 VIVO 125 #0252,35000,https://cdn.store-assets.com/s/1336053/i/94107227.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2019-三陽-vivo-125-0252
高雄店,【高雄店】2023 PGO SPRING 125 (ABS) #6266,55000,https://cdn.store-assets.com/s/1336053/i/93396072.jpeg,https://shop.2motor.tw/collections/2motor888/products/-高雄店-2023-pgo-spring-125-6266
新北中和店,【新北中和店】2020 山葉 SMAX 155 LED ABS #0656,55000,https://cdn.store-assets.com/s/1336053/i/99533689.jpeg,https://shop.2motor.tw/collections/2motor123/products/-新北中和店-2020-山葉-smax-155-led-abs-0656
新北中和店,【新北中和店】2016 山葉 勁戰四代 125 #5682,46000,https://cdn.store-assets.com/s/1336053/i/99533547.jpeg,https://shop.2motor.tw/collections/2motor123/products/-新北中和店-2016-山葉-勁戰四代-125-5682
新北中和店,【新北中和店】2024 三陽 野狼 125 #8186,45000,https://cdn.store-assets.com/s/1336053/i/99533338.jpeg,https://shop.2motor.tw/collections/2motor123/products/-新北中和店-2024-三陽-野狼-125-8186
新北中和店,【新北中和店】2020 山葉 勁戰六代 125 ABS #9252,68000,https://cdn.store-assets.com/s/1336053/i/99533248.jpeg,https://shop.2motor.tw/collections/2motor123/products/-新北中和店-2020-山葉-勁戰六代-125-abs-9252
